ref,quantity,category,item,manufacturer_part,nominal_dimensions_mm,unit_price_usd,price_status,required,url,notes
BAT1,1,on_car,Tattu 450mAh 2S 75C long LiPo,TA-75C-450-2S1P-L-XT30,61 x 16 x 15,7.22,Manufacturer page checked 2026-09-05; stock >100,yes,https://www.genstattu.com/tattu-450mah-7-4v-75c-2s1p-lipo-battery-pack-with-xt30-plug-long-size-for-h-frame.html,7.4V nominal / 8.4V full; XT30 main and JST-XH 3-pin balance; nominal28.4g; reserve66x20x19 plus wires; no per-cell protector assumed
U_PWR,1,on_car,Adjustable buck regulator with low-voltage cutoff,Pololu D30V30MALCMA item4872,15.2 x 25.4 x 9,39.95,Manufacturer page checked 2026-09-05; rationed/backorders allowed,yes,https://www.pololu.com/product/4872,Set and verify5.00V output; set6.2V backup cutoff; verify restart; load and thermal validation required
C_BULK,1,on_car,1000uF 10V low-ESR radial electrolytic,Panasonic EEUFR1A102,diameter10 x body16,,Price not verified,yes,https://industrial.panasonic.com/ww/products/pt/aluminum-cap-lead/models/EEUFR1A102,Servo bus capacitor;5mm lead pitch; polarized; add insulated lead clearance
C_LOGIC,1,on_car,100uF 10V radial electrolytic,Select stocked equivalent,measure chosen part,,Price and exact SKU not verified,yes,,Near MCU/camera rail; capacitor values are starting points to verify
C_BYPASS,1,on_car,100nF ceramic 16V or higher,Select stocked through-hole equivalent,measure chosen part,,Price and exact SKU not verified,yes,,Near logic/camera rail
J_BAT,1,on_car,XT30 mating connector with 22AWG or thicker pigtail,AMASS-compatible keyed XT30 mate,measure chosen connector,,Price and exact SKU not verified,yes,,Match metal contact gender to actual pack; inspect polarity; leave battery leads original
F_IN,1,on_car,Inline DC fuse nominal4A plus insulated holder or leaded assembly,Select DC-rated part after inrush test,measure selected part,,Price and exact SKU not verified,yes,,Select adequate DC interrupt rating for LiPo and validate against wire and fuse time-current curves; not servo stall protection
HARNESS,1,on_car,Stranded22AWG supply wire and soldered distribution harness,Hookup wire / heatshrink / strain relief,route to actual chassis,,Price not verified,yes,,No servo current through ESP32 or solderless breadboard; servo signal wiring may be thinner
SW_EN,1,on_car,Small SPST switch across regulator EN-GND,Generic low-current signal switch,measure selected part,,Price not verified,optional,,Standby only; unplug XT30 for hardOFF; do not pass motor current through an unrated tiny slide switch
CHG1,1,bench,2S-capable balance charger with low-current setting,SkyRC B6neo SK-100198,70 x 50 x 31,,Price not verified,yes_unless_owned,https://www.skyrc.com/b6neo-series,Original model; choose LiPo2S balance4.20V/cell at0.4A; external tool; digital-power mode useful for cutoff calibration
CHG_ADAPTER,1,bench,XT60 charger-output to XT30 battery adapter,Polarity-checked mating lead,not on car,,Price and exact SKU not verified,yes_unless_owned,,Connect main and balance leads as documented by charger; physical gender must match actual ports
CHG_SUPPLY,1,bench,Compatible USB-C PD supply and cable,12-20V PD support for original B6neo,not on car,,Price and exact SKU not verified,yes_unless_owned,https://www.skyrc.com/b6neo-series,Plain5V USB supply is not sufficient for original model PD input; low-current battery charging does not require maximum80W supply
DMM,1,bench,Digital multimeter with DC voltage and current measurement,User-owned or suitable meter,not on car,,Price not verified,yes_unless_owned,,Needed to calibrate5V output and cutoff and check both cells; start powered tests with current-limited supply
LIPO_BAG,1,bench,LiPo charging and storage bag,Select reputable bag,not on car,,Price not verified,recommended,,Charge removed pack supervised on nonflammable surface; bag is not permission for unattended charging
QP_SENSE,1,on_car,Through-hole P-channel MOSFET battery-sense switch,Diodes BS250P,E-Line TO92-compatible; measure leadformed assembly,1.75,DigiKey checked2026-09-05; stock21254; last-time-buy2027-01-06,yes,https://www.diodes.com/datasheet/download/BS250P.pdf,SourceVBAT_SW drain100k upper-divider gate100k-to-source; NRND; supplierhttps://www.digikey.com/en/products/detail/diodes-incorporated/bs250p/92630
QN_SENSE,1,on_car,Through-hole NPN battery-sense gate driver,onsemi 2N3904BU,TO92-3,,Price not verified,yes,https://www.onsemi.com/download/data-sheet/pdf/2n3904-d.pdf,EmitterGND base10k-fromGPIO7 and100k-toGND collector10k-toPMOSgate; selected pin1E2B3C
R_SENSE_100K,3,on_car,100k ohm1percent axial resistor,Stocked metal-film equivalent,measure selected body,,Price not verified,yes,,Qty3:divider upper R1 / PMOS gate-source pullup / NPN base-ground pulldown
R_SENSE_33K,1,on_car,33k ohm1percent axial resistor,Stocked metal-film equivalent,measure selected body,,Price not verified,yes,,Divider lower R2 toGND; ratio133/33 with100k upper
R_SENSE_10K,2,on_car,10k ohm axial resistor,Stocked metal-film equivalent,measure selected body,,Price not verified,yes,,Qty2:GPIO7-toNPNbase and NPNcollector-toPMOSgate
C_SENSE,1,on_car,100nF ceramic16V or higher,Stocked through-hole equivalent,measure selected body,,Price not verified,yes,,BAT_ADC/GPIO3 toGND; firmware wait20ms afterGPIO7HIGH before reading
PROTO_SENSE,1,on_car,Insulated perfboard for switched sensing and divider,Small cuttable perfboard,allow20 x 25 x 8 assembled provision,,Price and final envelope not verified,yes,,Mechanical envelope provisional; low-current signal circuit only; no customPCB fabrication needed
