reference,quantity,status,item,unit_price_usd,source,notes
MCU,1,owned,LOLIN ESP32-S2 Mini,,https://docs.wemos.cc/en/latest/s2/s2_mini.html,GPIO16 left; GPIO18 right; VBUS 5V; GPIO3/7 unwired; no onboard battery monitoring
SERVO,2,owned,MG90S-style continuous-rotation servo,,,Verify delivered wiring and neutral; servo current unknown
BUCK,1,owned,Large LM2596-style adjustable buck,,https://www.ti.com/lit/ds/symlink/lm2596.pdf,Confirm IC; set5.00V; provisional2.8A load unverified; no LiPo cutoff
BAT,1,buy,Lumenier300mAh2S75C XT30 SKU10188,13.49,https://www.racedayquads.com/products/lumenier-300mah-2s-75c-lipo-battery-xt-30,48x17x12mm18g; price/availability snapshot2026-09-07;7.4Vnominal8.4Vfull
J_BAT,1,reuse if XT30 otherwise buy,Mating XT30 pigtail with22AWG or thicker wire,,,Match contact gender to battery; owned photo cannot distinguish XT30/XT60; verify polarity
F_IN,1,candidate; validate,Littelfuse 0251004.MXL PICO II 251 axial fuse; 4 A provisional,1.24,https://www.digikey.com/en/products/detail/littelfuse-inc/0251004-MXL/700745,125VDC;300A DC interrupt;body7.11x2.80mm max; solder inline and insulate with strain relief; validate wire/fuse/inrush coordination; CAD nominal body; lead bends and insulation provisional; price snapshot2026-09-08
J_PWR,1,buy or fabricate,Insulated removable connector in S2 VBUS feed,,,Remove during USB programming; servo signals and battery also disconnected
C_BYPASS,1,buy,100nF ceramic16V or higher,,,Across S2 VBUS and GND after J_PWR; short leads at S2 supply pads
HARNESS,1,buy or owned,Wire; servo extension leads; heatshrink,,,22AWG minimum main power; insulated soldered joints; no perfboard; no motor current through S2
CHARGER,1,bench tool,2S balance charger adjustable to0.30A,,,LiPo4.2V/cell;main XT30 plus3pin balance lead; not1S TP4056
DMM,1,bench tool,Digital multimeter,,,Verify polarity and 5V; manual per-cell checks before/between short runs with XT30 unplugged; no automatic low-voltage protection
